rank,years_since_phd,years_in_service,gender,salary
Assistant,17,1,F,33219
Full,39,26,M,110340
Full,37,18,M,78369
Full,24,21,M,79515
Assistant,16,4,F,37893
Assistant,2,1,F,24000
Assistant,12,2,M,26974
Assistant,15,1,M,28942
Assistant,2,2,F,32938
Associate,24,16,F,77259
Associate,32,13,F,60954
Assistant,2,2,M,36876
Assistant,1,1,M,42374
Assistant,10,6,F,52294
Associate,15,13,F,58682
Associate,25,14,M,71327
Assistant,12,2,F,30352
Assistant,15,3,F,38046
Assistant,39,3,F,39987
Assistant,28,7,M,50170
Associate,37,8,M,43794
Assistant,4,0,F,24000
Associate,20,11,F,50894
Assistant,18,1,F,24000
Associate,33,11,F,58157
Assistant,1,0,M,30245
Associate,21,17,M,75043
Assistant,2,2,F,26907
Associate,16,8,F,45360
Associate,28,9,F,54422
Assistant,35,2,M,39511
Associate,37,17,F,78063
Associate,19,15,M,66096
Associate,30,11,M,63292
Full,30,24,M,95970
Assistant,17,2,F,32451
Associate,21,16,F,66373
Assistant,11,3,F,39125
Assistant,4,0,F,27548
Assistant,12,5,M,39045
Associate,11,11,F,54753
Assistant,17,7,F,45228
Full,28,28,F,123269
Full,21,18,M,80087
Assistant,2,0,M,27257
Full,21,19,M,86379
Assistant,18,5,F,44101
Full,40,38,F,145115
Associate,31,13,M,70945
Full,35,30,M,120871
Assistant,4,2,M,24000
Assistant,13,3,M,43128
Full,40,36,M,137857
Associate,18,12,M,60826
Assistant,5,4,M,33186
Full,23,19,M,84209
Assistant,4,1,F,27995
Assistant,23,0,M,24000
Full,35,27,F,110643
Associate,17,8,M,50088
Assistant,8,6,F,43322
Associate,22,13,M,70638
Assistant,26,3,M,30427
Assistant,16,5,F,37886
Associate,30,9,M,64007
Associate,24,13,F,65230
Associate,37,9,F,50231
Assistant,20,5,F,39864
Assistant,15,6,F,51035
Associate,30,15,M,69197
Full,32,22,M,96714
Assistant,19,0,M,24000
Assistant,10,1,F,27324
Full,40,26,M,105350
Assistant,30,5,F,41949
Assistant,13,2,F,31449
Associate,21,11,M,68800
Full,32,26,M,104326
Assistant,9,4,F,35543
Full,30,21,F,87364
Full,38,25,F,103810
Assistant,3,1,M,24000
Assistant,2,0,M,24000
Associate,21,8,M,44555
Assistant,11,7,F,52970
Full,39,18,F,74838
Associate,38,11,M,57802
Associate,32,10,F,59753
Assistant,12,2,F,33839
Full,40,27,M,103200
Full,33,27,F,109145
Associate,24,11,F,60881
Full,39,39,M,140000
Assistant,9,0,M,24000
Assistant,23,7,M,36900
Full,30,25,F,100897
Assistant,2,0,F,24000
Associate,15,15,M,76088
Assistant,27,3,F,33446
Assistant,13,4,M,40267
Associate,10,10,M,56950
Assistant,18,6,F,41995
Full,29,22,F,100557
Assistant,23,3,M,35852
Associate,26,12,F,65000
Associate,12,8,F,62376
Full,38,23,M,95696
Associate,28,14,M,67640
Associate,40,9,F,55115
Associate,33,8,M,53739
Full,40,38,F,147398
Full,35,32,F,126833
Assistant,25,7,F,42863
Assistant,32,7,F,48720
Associate,25,17,F,75312
Assistant,5,2,M,29866
Assistant,5,2,M,24074
Assistant,7,3,M,32188
Full,31,23,M,108464
Assistant,25,4,F,38567
Full,31,18,F,77633
Full,38,24,M,102564
Assistant,16,6,F,34319
Associate,20,17,F,78055
Assistant,2,0,M,24498
Full,37,31,M,123628
Assistant,17,7,F,44568
Full,38,22,M,88278
Associate,10,9,F,43881
Assistant,16,7,M,54079
Associate,19,15,M,67696
Assistant,7,7,M,47000
